B00, 0
S03, Blotteritem, {'type': 'Trade', 'time': 4573.16666666791, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4604.833333334462, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4627.583333334379, 'price': 130.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4657.500000000937, 'price': 150.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4687.500000000828, 'price': 130.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4718.166666667383, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4743.083333333959, 'price': 150.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4858.3333333335395, 'price': 130.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 4915.499999999998, 'price': 130.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
S04, 8
S04, Blotteritem, {'type': 'Trade', 'time': 4455.0833333350065, 'price': 150.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4487.166666668223, 'price': 130.0, 'party1': 'B04', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4626.666666667716, 'price': 150.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4686.166666667499, 'price': 150.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4801.166666667081, 'price': 130.0, 'party1': 'B04', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4828.833333333647, 'price': 150.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4887.916666666765, 'price': 130.0, 'party1': 'B04', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 4973.166666666455, 'price': 130.0, 'party1': 'B04', 'party2': 'S04', 'qty': 1}
S05, 3
S05, Blotteritem, {'type': 'Trade', 'time': 4486.25000000156, 'price': 150.0, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 4570.000000001255, 'price': 150.0, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 4771.833333333854, 'price': 150.0, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
