B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B10, Blotteritem, {'type': 'Trade', 'time': 4807.580000012097, 'price': 91.0, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B11, 74
B11, Blotteritem, {'type': 'Trade', 'time': 50.04000000000222, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 120.57999999999315, 'price': 71, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 161.2600000000087, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 210.70000000003398, 'price': 75.0, 'party1': 'S06', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 241.6400000000498, 'price': 95, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 349.09999999997245, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 504.7599999998309, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 511.73999999982453, 'price': 88, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 598.3799999997458, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 601.0799999997433, 'price': 92.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 688.3999999996639, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 721.0399999996342, 'price': 95.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 754.8399999996035, 'price': 95.0, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 811.5199999995519, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 842.1599999995241, 'price': 75, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
