1, 000210, 143, 157, GVWY, 681, 20, 34.050000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 545, 20, 27.250000, ZIP, 509, 20, 25.450000, 143, 157, 
1, 000211, 143, 157, GVWY, 727, 20, 36.350000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 545, 20, 27.250000, ZIP, 509, 20, 25.450000, 143, 157, 
1, 000211, 143, 169, GVWY, 727, 20, 36.350000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 509, 20, 25.450000, 143, 169, 
1, 000211, 143, 172, GVWY, 733, 20, 36.650000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 509, 20, 25.450000, 143, 172, 
1, 000212, 156, 176, GVWY, 756, 20, 37.800000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 509, 20, 25.450000, 156, 176, 
1, 000214, 154, 171, GVWY, 756, 20, 37.800000, PRSH, 850, 20, 42.500000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 514, 20, 25.700000, 154, 171, 
1, 000216, 144, 171, GVWY, 756, 20, 37.800000, PRSH, 868, 20, 43.400000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 514, 20, 25.700000, 144, 171, 
1, 000219, 134, 167, GVWY, 756, 20, 37.800000, PRSH, 885, 20, 44.250000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 541, 20, 27.050000, 134, 167, 
1, 000222, 131, 159, GVWY, 756, 20, 37.800000, PRSH, 925, 20, 46.250000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 543, 20, 27.150000, 131, 159, 
1, 000225, 138, 152, GVWY, 756, 20, 37.800000, PRSH, 953, 20, 47.650000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 550, 20, 27.500000, 138, 152, 
1, 000228, 132, 152, GVWY, 756, 20, 37.800000, PRSH, 963, 20, 48.150000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 550, 20, 27.500000, 132, 152, 
1, 000228, 132, 162, GVWY, 756, 20, 37.800000, PRSH, 975, 20, 48.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 552, 20, 27.600000, 132, 162, 
1, 000240, 117, 151, GVWY, 804, 20, 40.200000, PRSH, 975, 20, 48.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 569, 20, 28.450000, 117, 151, 
1, 000240, 119, 155, GVWY, 828, 20, 41.400000, PRSH, 975, 20, 48.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 581, 20, 29.050000, 119, 155, 
1, 000240, 146, 155, GVWY, 876, 20, 43.800000, PRSH, 975, 20, 48.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 581, 20, 29.050000, 146, 155, 
1, 000240, 144, 153, GVWY, 882, 20, 44.100000, PRSH, 975, 20, 48.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 600, 20, 30.000000, 144, 153, 
1, 000241, 145, 153, GVWY, 892, 20, 44.600000, PRSH, 975, 20, 48.750000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 600, 20, 30.000000, 145, 153, 
1, 000242, 147, 153, GVWY, 892, 20, 44.600000, PRSH, 992, 20, 49.600000, SNPR, 0, 20, 0.000000, ZIC, 577, 20, 28.850000, ZIP, 600, 20, 30.000000, 147, 153, 
1, 000243, 147, 154, GVWY, 892, 20, 44.600000, PRSH, 992, 20, 49.600000, SNPR, 0, 20, 0.000000, ZIC, 610, 20, 30.500000, ZIP, 600, 20, 30.000000, 147, 154, 
1, 000243, 139, 154, GVWY, 892, 20, 44.600000, PRSH, 1008, 20, 50.400000, SNPR, 0, 20, 0.000000, ZIC, 610, 20, 30.500000, ZIP, 623, 20, 31.150000, 139, 154, 
1, 000244, 135, 154, GVWY, 892, 20, 44.600000, PRSH, 1034, 20, 51.700000, SNPR, 0, 20, 0.000000, ZIC, 610, 20, 30.500000, ZIP, 632, 20, 31.600000, 135, 154, 
1, 000247, 134, 157, GVWY, 892, 20, 44.600000, PRSH, 1034, 20, 51.700000, SNPR, 0, 20, 0.000000, ZIC, 645, 20, 32.250000, ZIP, 632, 20, 31.600000, 134, 157, 
1, 000251, 138, 157, GVWY, 892, 20, 44.600000, PRSH, 1036, 20, 51.800000, SNPR, 0, 20, 0.000000, ZIC, 661, 20, 33.050000, ZIP, 632, 20, 31.600000, 138, 157, 
1, 000256, 136, 161, GVWY, 892, 20, 44.600000, PRSH, 1036, 20, 51.800000, SNPR, 0, 20, 0.000000, ZIC, 664, 20, 33.200000, ZIP, 632, 20, 31.600000, 136, 161, 
1, 000270, 118, 168, GVWY, 912, 20, 45.600000, PRSH, 1036, 20, 51.800000, SNPR, 0, 20, 0.000000, ZIC, 664, 20, 33.200000, ZIP, 646, 20, 32.300000, 118, 168, 
1, 000270, 114, 168, GVWY, 912, 20, 45.600000, PRSH, 1036, 20, 51.800000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 670, 20, 33.500000, 114, 168, 
1, 000270, 148, 154, GVWY, 958, 20, 47.900000, PRSH, 1045, 20, 52.250000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 670, 20, 33.500000, 148, 154, 
1, 000271, 148, 151, GVWY, 969, 20, 48.450000, PRSH, 1045, 20, 52.250000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 670, 20, 33.500000, 148, 151, 
1, 000271, 148, 152, GVWY, 1019, 20, 50.950000, PRSH, 1048, 20, 52.400000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 670, 20, 33.500000, 148, 152, 
1, 000271, 136, 152, GVWY, 1027, 20, 51.350000, PRSH, 1048, 20, 52.400000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 691, 20, 34.550000, 136, 152, 
1, 000272, 136, 154, GVWY, 1027, 20, 51.350000, PRSH, 1060, 20, 53.000000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 691, 20, 34.550000, 136, 154, 
1, 000275, 146, 152, GVWY, 1027, 20, 51.350000, PRSH, 1101, 20, 55.050000, SNPR, 0, 20, 0.000000, ZIC, 693, 20, 34.650000, ZIP, 699, 20, 34.950000, 146, 152, 
1, 000276, 146, 155, GVWY, 1027, 20, 51.350000, PRSH, 1101, 20, 55.050000, SNPR, 0, 20, 0.000000, ZIC, 701, 20, 35.050000, ZIP, 700, 20, 35.000000, 146, 155, 
1, 000279, 149, 157, GVWY, 1027, 20, 51.350000, PRSH, 1101, 20, 55.050000, SNPR, 0, 20, 0.000000, ZIC, 735, 20, 36.750000, ZIP, 700, 20, 35.000000, 149, 157, 
1, 000279, 146, 157, GVWY, 1027, 20, 51.350000, PRSH, 1118, 20, 55.900000, SNPR, 0, 20, 0.000000, ZIC, 735, 20, 36.750000, ZIP, 717, 20, 35.850000, 146, 157, 
1, 000280, 146, 157, GVWY, 1027, 20, 51.350000, PRSH, 1152, 20, 57.600000, SNPR, 0, 20, 0.000000, ZIC, 735, 20, 36.750000, ZIP, 717, 20, 35.850000, 146, 157, 
1, 000298, 146, 159, GVWY, 1027, 20, 51.350000, PRSH, 1172, 20, 58.600000, SNPR, 0, 20, 0.000000, ZIC, 735, 20, 36.750000, ZIP, 717, 20, 35.850000, 146, 159, 
1, 000300, 149, 162, GVWY, 1027, 20, 51.350000, PRSH, 1172, 20, 58.600000, SNPR, 0, 20, 0.000000, ZIC, 769, 20, 38.450000, ZIP, 726, 20, 36.300000, 149, 162, 
1, 000300, 149, 162, GVWY, 1027, 20, 51.350000, PRSH, 1196, 20, 59.800000, SNPR, 0, 20, 0.000000, ZIC, 769, 20, 38.450000, ZIP, 726, 20, 36.300000, 149, 162, 
1, 000301, 154, 162, GVWY, 1030, 20, 51.500000, PRSH, 1196, 20, 59.800000, SNPR, 0, 20, 0.000000, ZIC, 770, 20, 38.500000, ZIP, 726, 20, 36.300000, 154, 162, 
1, 000301, 154, 169, GVWY, 1041, 20, 52.050000, PRSH, 1196, 20, 59.800000, SNPR, 0, 20, 0.000000, ZIC, 781, 20, 39.050000, ZIP, 726, 20, 36.300000, 154, 169, 
1, 000301, 153, 169, GVWY, 1041, 20, 52.050000, PRSH, 1202, 20, 60.100000, SNPR, 0, 20, 0.000000, ZIC, 781, 20, 39.050000, ZIP, 739, 20, 36.950000, 153, 169, 
1, 000301, 154, 175, GVWY, 1069, 20, 53.450000, PRSH, 1202, 20, 60.100000, SNPR, 0, 20, 0.000000, ZIC, 781, 20, 39.050000, ZIP, 739, 20, 36.950000, 154, 175, 
1, 000302, 151, 175, GVWY, 1084, 20, 54.200000, PRSH, 1202, 20, 60.100000, SNPR, 0, 20, 0.000000, ZIC, 781, 20, 39.050000, ZIP, 753, 20, 37.650000, 151, 175, 
1, 000302, 151, 175, GVWY, 1084, 20, 54.200000, PRSH, 1235, 20, 61.750000, SNPR, 0, 20, 0.000000, ZIC, 781, 20, 39.050000, ZIP, 753, 20, 37.650000, 151, 175, 
1, 000304, 154, 172, GVWY, 1112, 20, 55.600000, PRSH, 1235, 20, 61.750000, SNPR, 0, 20, 0.000000, ZIC, 781, 20, 39.050000, ZIP, 755, 20, 37.750000, 154, 172, 
