B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 4
B12, Blotteritem, {'type': 'Trade', 'time': 3287.1599999973005, 'price': 92, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3424.4999999971756, 'price': 67, 'party1': 'B12', 'party2': 'S04', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3506.9199999971006, 'price': 92, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3677.3599999969456, 'price': 91, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3849.379999996789, 'price': 99, 'party1': 'B12', 'party2': 'S09', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3912.7599999967315, 'price': 100, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4013.7199999966397, 'price': 87, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4036.9199999966186, 'price': 91, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4145.579999997647, 'price': 75.0, 'party1': 'S06', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4291.800000000839, 'price': 97, 'party1': 'B12', 'party2': 'S09', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4377.240000002704, 'price': 86, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4466.680000004656, 'price': 95, 'party1': 'B12', 'party2': 'S10', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4494.1000000052545, 'price': 91, 'party1': 'S10', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4583.020000007195, 'price': 100, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4596.120000007481, 'price': 75.0, 'party1': 'S06', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 4626.160000008137, 'price': 97, 'party1': 'B12', 'party2': 'S04', 'qty': 1}
B13, 158
B13, Blotteritem, {'type': 'Trade', 'time': 31.119999999999425, 'price': 104.0, 'party1': 'B13', 'party2': 'S04', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 78.94000000000143, 'price': 104.0, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 122.19999999999283, 'price': 104.0, 'party1': 'B13', 'party2': 'S05', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 155.2200000000056, 'price': 104.0, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 180.8400000000187, 'price': 104.0, 'party1': 'B13', 'party2': 'S06', 'qty': 1}
